data, sillyHash, FirstLetter, WordLen, LetterSum, Rolleft, MyHash, 
218, 0, 0, 0, 12, 51, 46, 
219, 0, 0, 0, 8, 54, 61, 
220, 0, 0, 0, 11, 54, 47, 
221, 0, 0, 0, 8, 65, 45, 
222, 0, 0, 0, 9, 52, 56, 
223, 0, 0, 0, 5, 60, 62, 
224, 0, 0, 0, 8, 63, 66, 
225, 0, 0, 0, 9, 60, 49, 
226, 0, 0, 0, 9, 43, 57, 
227, 0, 0, 0, 13, 40, 55, 
228, 0, 0, 0, 9, 60, 58, 
229, 0, 0, 0, 2, 59, 51, 
230, 0, 0, 0, 4, 49, 59, 
231, 0, 0, 0, 7, 63, 62, 
232, 0, 0, 0, 13, 52, 49, 
233, 0, 0, 0, 8, 62, 54, 
234, 0, 0, 0, 10, 46, 52, 
235, 0, 0, 0, 6, 66, 55, 
236, 0, 0, 0, 6, 40, 45, 
237, 0, 0, 0, 11, 57, 56, 
238, 0, 0, 0, 10, 43, 61, 
239, 0, 0, 0, 7, 50, 51, 
240, 0, 0, 0, 6, 56, 50, 
241, 0, 0, 0, 10, 66, 44, 
242, 0, 0, 0, 9, 46, 56, 
243, 0, 0, 0, 7, 47, 45, 
244, 0, 0, 0, 9, 49, 54, 
245, 0, 0, 0, 10, 53, 59, 
246, 0, 0, 0, 9, 45, 40, 
247, 0, 0, 0, 13, 52, 53, 
248, 0, 0, 0, 9, 46, 56, 
249, 0, 0, 0, 12, 66, 48, 
250, 0, 0, 0, 9, 45, 48, 
251, 0, 0, 0, 18, 57, 55, 
252, 0, 0, 0, 11, 56, 51, 
253, 0, 0, 0, 11, 54, 62, 
254, 0, 0, 0, 8, 57, 53, 
255, 0, 0, 0, 4, 52, 59, 
256, 0, 0, 0, 9, 68, 75, 
257, 0, 0, 0, 11, 64, 59, 
258, 0, 0, 0, 9, 60, 62, 
259, 0, 0, 0, 17, 57, 66, 
260, 0, 0, 0, 15, 61, 51, 
261, 0, 0, 0, 10, 59, 62, 
262, 0, 0, 0, 9, 44, 47, 
263, 0, 0, 0, 10, 55, 56, 
264, 0, 0, 0, 15, 52, 52, 
265, 0, 0, 0, 18, 63, 61, 
266, 0, 0, 0, 16, 55, 57, 
267, 0, 0, 0, 12, 56, 55, 
268, 0, 0, 0, 10, 52, 48, 
269, 0, 0, 0, 13, 50, 49, 
